Date,Business Unit,Housing,Healthcare,Education,Manufacturing/Production,Hospitality,Consulting
3/1/2022,AKOWONJO,46330.09,2431.678333,1584.485,4515.971293,2037.197835,905.4233333
3/1/2022,IKEJA,28253,2363.498333,3719.245,4389.362775,4781.880225,2125.283333
3/1/2022,IKORODU,44854.73,2531.458333,1183.625,4701.278178,1521.808011,676.3533333
3/1/2022,OSHODI,33568.18,2601.338333,1789.505,4831.052809,2300.792261,1022.573333
3/1/2022,SHOMOLU,39307.55,2508.188333,1592.205,4658.064975,2047.119413,909.8333333
4/1/2022,ABULE EGBA,28257.99,2165.945,1090.495,4022.474279,1402.065236,623.1433333
4/1/2022,AKOWONJO,41019.85,2210.885,1428.365,4105.935729,1836.475171,816.2133333
4/1/2022,IKEJA,27145.99,2141.015,3411.485,3976.172459,4386.197086,1949.423333
4/1/2022,IKORODU,42690.52,2283.615,1145.545,4241.006821,1472.838185,654.5933333
4/1/2022,OSHODI,42473.95,2297.065,1913.325,4265.983805,2459.994019,1093.333333
4/1/2022,SHOMOLU,46643.96,2235.155,1722.275,4151.000625,2214.348644,984.1533333
5/1/2022,ABULE EGBA,27170.99,2407.305,1186.138333,4470.708854,1525.034188,677.7916667
5/1/2022,AKOWONJO,43830.75,2444.955,1557.028333,4540.623887,2001.900344,889.7316667
5/1/2022,IKEJA,29056.42,2376.675,3749.878333,4413.81971,4821.270315,2142.781667
5/1/2022,IKORODU,42757.21,2534.185,1242.618333,4706.335888,1597.658122,710.0716667
5/1/2022,OSHODI,38153.8,2533.855,2208.978333,4705.721677,2840.119971,1262.271667
5/1/2022,SHOMOLU,54643.95,2489.235,1787.898333,4622.867321,2298.727625,1021.651667
6/1/2022,ABULE EGBA,22670.06,2113.646667,897.195,3925.352201,1153.539596,512.68
6/1/2022,AKOWONJO,30919.42,2176.416667,1172.925,4041.908934,1508.053016,670.25
6/1/2022,IKEJA,20800.1,2120.906667,2855.195,3938.834735,3670.95958,1631.54
6/1/2022,IKORODU,37578.8,2249.526667,958.005,4177.69732,1231.722186,547.43
6/1/2022,OSHODI,29816.15,2278.476667,1688.355,4231.448232,2170.748036,964.78
6/1/2022,SHOMOLU,42601.71,2178.246667,1294.785,4045.320225,1664.727054,739.88
7/1/2022,ABULE EGBA,27581.55,2149.63,1167.13,3992.168165,1500.599581,666.9283333
7/1/2022,AKOWONJO,41539.01,2194.55,1530.43,4075.599156,1967.688934,874.5283333
7/1/2022,IKEJA,23754.27,2144.7,3359.49,3983.018616,4319.342809,1919.708333
7/1/2022,IKORODU,48073.12,2346.01,1250.27,4356.882132,1607.48993,714.4383333
7/1/2022,OSHODI,39843.97,2224.45,2191.77,4131.121486,2817.990111,1252.438333
7/1/2022,SHOMOLU,49717.68,2216.48,1874.75,4116.327662,2410.387842,1071.288333
8/1/2022,ABULE EGBA,33372.33,2349.036667,1317.951667,4362.500045,1694.50928,753.1183333
8/1/2022,AKOWONJO,52997.75,2405.226667,1791.291667,4466.851988,2303.086701,1023.598333
8/1/2022,IKEJA,26083.38,2313.316667,3667.731667,4296.15229,4715.658557,2095.848333
8/1/2022,IKORODU,51168.89,2474.836667,1379.021667,4596.126139,1773.021063,788.0083333
8/1/2022,OSHODI,48922.84,2433.076667,2373.341667,4518.572325,3051.442551,1356.198333
8/1/2022,SHOMOLU,53093.74,2443.326667,2256.491667,4537.613094,2901.204777,1289.428333
9/1/2022,ABULE EGBA,31690.09,2240.658333,1394.968333,4161.219247,1793.532872,797.1283333
9/1/2022,AKOWONJO,54725.8,2256.238333,1892.258333,4190.162362,2432.90607,1081.288333
